Kanji,traduction,Lecture kun 1,Lecture kun 2,Lecture on 1,Lecture on 2,Exemple 1,Exemple 1 kana,Exemple 1 traduction,Exemple 2,Exemple 2 kana,Exemple 2 traduction,Exemple 3,Exemple 3 kana,Exemple 3 traduction,Exemple 4,Exemple 4 kana,Exemple 4 traduction
零,Zéro,.,.,レイ,.,零度,レイド,zéro (degré),零時,レイジ,"midi, minuit",零下,レイカ,en dessous de zéro,零点,レイテン,zéro (note)
一,Un,ひと（つ）,.,イチ,イツ,一個,イツコ,un (objet compact),一枚,イチマイ,un (objet plat),唯一の,ユイツの,unique,一人,ひとり,une personne
二,Deux,ふた（つ）,.,二,.,二重,ニジュウ,double,二重,ニジュウ,vingt,二日,ふつか,le 2 du mois,二人,ふたり,deux personnes
三,Trois,み（つ）,みつ（つ）,さん,.,三人,サンニン,trois personnes,三日,みっか,le 3 du mois,三つ子,みつご,triplés,三月,みつき,durée de 3 mois
四,Quatre,よん,よつ（つ）,シ,.,四月,シガツ,avril,四角,シカク,carré,四日,よっか,le 4 du mois,四枚,よんアイ,quatre (objets plats)
五,Cinq,いつ（つ）,.,ゴ,.,五人,ゴニン,cinq personnes,四.五人,シゴニン,quatre-cinq personnes,五枚,ゴマイ,cinq (objets plats),五日,いつか,le 5 du mois
六,Six,む（つ）,むい,ロク,.,六人,ロクニン,six personnes,六月,ロクガツ,juin,六ヶ月,ロッカゲツ,une durée de 6 mois,六日,むいか,le 6 du mois
七,Sept,なな（つ）,なの,シチ,.,七月,シチゲツ,juillet,七日,なのか,le 7 du mois,七才,ななさい,sept ans (age),七ヶ月,ななカゲツ,durée de 7 mois
八,Huit,やっ（つ）,よう,ハチ,.,八月,ハチガツ,août,八日,ようか,le 8 du mois,お八つ,おやつ,le goûter,-,,-
九,Neuf,ここの（つ）,,ク,キュウ,九月,クガツ,septembre,九ヶ月,キュウカゲツ,durée de 9 mois,九才,キュウサイ,neuf ans (age),十九日,ジュウクニチ,le 19 du mois
十,Dix,とお,と,ジュウ,ジ,十分,ジュプン,dix minutes,十分,ジュウブン,suffisant,ニ十日,につか,le 20 du mois,十人,ジュウニン,dix personnes
百,Cent,.,.,ヒャク,.,百日,ヒャクニチ,cent jours,百人,ヒャクニン,cent personnes,六百,ロッピャク,six cents,八百,ロッピャク,huit cents
千,Mille,ち,.,セン,.,千人,センニン,mille personnes,三千,サンゼン,trois mille,千歳,ちとせ,mille ans -> Eternité,千尋,ちひろ,Chihiro (prénom)
万,Dix mille / Nombreux,.,.,マン,.,万博,バンパク,tous les pays,金壱万円,キンイチマンエン,somme de 1000 yen,巨万,キョマン,"multitude, énorme quantité",万年筆,マンネンヒツ,stylo
