Kanji,traduction,Lecture kun 1,Lecture kun 2,Lecture on 1,Lecture on 2,Exemple 1,Exemple 1 kana,Exemple 1 traduction,Exemple 2,Exemple 2 kana,Exemple 2 traduction,Exemple 3,Exemple 3 kana,Exemple 3 traduction,Exemple 4,Exemple 4 kana,Exemple 4 traduction
一,un,ひと（つ）,,イチ,イツ,一個,イツコ,un (objet compact),一枚,イチマイ,un (objet plat),唯一の,ユイツの,unique,一人,ひとり,une personne
二,deux,ふた（つ）,,二,,二重,ニジュウ,double,二重,ニジュウ,vingt,二日,ふつか,le 2 du mois,二人,ふたり,deux personnes
三,trois,み（つ）,みつ（つ）,さん,,三人,サンニン,trois personnes,三日,みっか,le 3 du mois,三つ子,みつご,triplés,三月,みつき,durée de 3 mois
四,quatre,よん,よつ（つ）,,,,,,,,,,,,,,
五,cinq,,,,,,,,,,,,,,,,
六,six,,,,,,,,,,,,,,,,
七,sept,,,,,,,,,,,,,,,,
八,huit,,,,,,,,,,,,,,,,
九,neuf,,,,,,,,,,,,,,,,
十,dix,,,,,,,,,,,,,,,,
百,cent,,,,,,,,,,,,,,,,
千,mille,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
